FIPS.STATE	STUB.GEO	POPULATION	:                                       
P0450001    Worked in county of residence                                     

	Worked in State of residence P0450002    Worked outside county of residence	P0450003  Worked outside State of residence
01	Alabama	4040587	1363133	310438	62017
02	Alaska	550043	247129	15043	1589
04	Arizona	3665228	1535826	38831	25947
05	Arkansas	2350725	799075	156497	33140
06	California	29760021	11796527	2079927	63796
08	Colorado	3294394	1124306	495454	17680
09	Connecticut	3287116	1308624	283912	80906
10	Delaware	666168	287659	14100	32367
11	District-of-Columbia	606900	236734	0	67694
12	Florida	12937926	4956240	776449	61763
13	Georgia	6478216	1935479	1094510	76404
15	Hawaii	1108229	560286	3486	3993
16	Idaho	1006749	372922	50325	17562
17	Illinois	11430602	4200428	998220	152763
18	Indiana	5544159	1947671	514585	124926
19	Iowa	2776755	1096619	169518	55927
20	Kansas	2477574	941626	148338	88967
21	Kentucky	3685296	1160660	300800	104251
22	Louisiana	4219973	1217736	395728	32226
23	Maine	1227928	464593	87036	19254
24	Maryland	4781468	1363948	686505	432009
25	Massachusetts	6016425	2063962	822092	93540
26	Michigan	9295297	3014822	1005806	61775
27	Minnesota	4375099	1533077	585352	40304
28	Mississippi	2573216	761316	207577	59121
29	Missouri	5117073	1614411	620244	111161
30	Montana	799065	326038	19043	4103
31	Nebraska	1578385	656998	101204	16883
32	Nevada	1201833	572290	24341	7978
33	New-Hampshire	1109252	388368	83706	94515
34	New-Jersey	7730188	2235202	1131814	445668
35	New-Mexico	1515069	555843	60562	16730
36	New-York	17990455	5426325	2594168	200120
37	North-Carolina	6628637	2582675	657483	60323
38	North-Dakota	638800	261956	20701	10891
39	Ohio	10847115	3719156	1014795	109254
40	Oklahoma	3145585	1087117	246662	40559
41	Oregon	2842321	1012834	255221	26635
42	Pennsylvania	11881643	4006525	1110200	231407
44	Rhode- Island	1003464	329829	92931	58470
45	South-Carolina	3486703	1239694	329556	67106
46	South-Dakota	696004	283710	34162	6250
47	Tennessee	4877185	1748489	414503	76264
48	Texas	16986510	6312264	1230794	67429
49	Utah	1722850	620236	102264	9876
50	Vermont	562758	227512	32641	16612
51	Virginia	6187358	1627940	1223270	295648
53	Washington	4866692	1932957	303961	65748
54	West-Virginia	1793477	486317	110373	62446
55	Wisconsin	4891769	1846382	425225	78084
56	Wyoming	453588	196211	8040	4123

