package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,STATE,,text,49,AL | AZ | AR | CA | CO,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,FULLNAME,,text,49,ALABAMA | ARIZONA | ARKANSAS | CALIFORNIA | COLORADO,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,TollShare,,numeric,49,0 | 0.021141521 | 0.002957778 | 0.000259886 | 0.252590048,0,0.331822037,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,Population,,numeric,49,4252982 | 4217940 | 2483769 | 31589153 | 3746585,480184,31589153,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,OldTollMileRatio,,numeric,49,0.000 | 0.015 | 0.358 | 0.220 | 0.111,0,0.425,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,WorkersOOS,,numeric,49,0.024 | 0.011 | 0.040 | 0.005 | 0.008,0.005,0.138,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/regress_data.csv,,N1^4,,numeric,49,0.00000000 | 0.00000003 | 0.00000002 | 0.00000008 | 0.00000098,0,9.8e-07,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/state_toll_data.csv,,STATE,,text,49,ALABAMA | ARIZONA | ARKANSAS | CALIFORNIA | COLORADO,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/state_toll_data.csv,,TollShare (S),,numeric,49,0.0 | 2.1 | 0.3 | 25.3 | 7.8,0,33.2,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/state_toll_data.csv,,Workers Who Live Out of State (O),,numeric,49,2.4 | 1.1 | 4.0 | 0.5 | 0.8,0.5,13.8,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/state_toll_data.csv,,Percent Federal Land,,numeric,49,3.3 | 41.5 | 8.3 | 44.6 | 36.0,0.2,77.1,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
paper-2001-02,Why States Toll: An Empirical Model Of Finance Choice,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2001-02-why-states-toll-an-empirical-model-of-finance-choice,data/stata/modernized/state_toll_data.csv,,NeighborTollShare,,numeric,49,1.7 | 2.2 | 2.0 | 4.6 | 3.9,0.5,26.5,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 50 rows."
