workbook,sheet,max_row,max_column,nonempty_cells,formula_cells,sample_values
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Neighbors-by-O-OOS,54,65,3381,2703,FULLNAME | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Distict-of-Columbia
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Destinations (2),50,3,150,0,TRIPS-WITHIN-ALABAMA | 7205 | 9734 | TRIPS-WITHIN-ALASKA | 1798 | 636 | TRIPS-WITHIN-ARIZONA | 10895 | 8689 | TRIPS-WITHIN-ARKANSAS
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Summary,53,11,413,102,Vistors to State by Origin | Destinations by Residents of | Visitors | Residents | FULLNAME | In-State | Out-of-State | In-State | Out-Of-Staet | Ratio
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Origins,2567,4,7658,3,TRIPS-WITHIN-ALABAMA | 7205 | 9591 | =SUM(B2:B52) | Alaska | 6 | 9585 | Arizona | 29 | 9556
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Neighbors-by-O,54,55,2964,2703,FULLNAME | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Distict-of-Columbia
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,TripTable,53,53,2809,103,O \  D | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Distict0of0Columbia
data/workbooks/modernized/ats_long_trip_preliminary_data.xlsx,Destinations,2555,3,7655,0,TRIPS-WITHIN-ALABAMA | 7205 | 9734 | Alaska | 9 | 9725 | Arizona | 27 | 11496 | Arkansas
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,NeighborEffect-i-UB,49,47,2202,1980,Sum of TRIPS | D-APUMA | O-APUMA | 0 | 1 | 2 | 3 | 4 | 5 | 6
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,NeighborEffect-i=3,49,47,2202,1980,Sum of TRIPS | D-APUMA | O-APUMA | 0 | 1 | 2 | 3 | 4 | 5 | 6
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,NeighborEffect-i=2,49,47,2202,1980,Sum of TRIPS | D-APUMA | O-APUMA | 0 | 1 | 2 | 3 | 4 | 5 | 6
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,NeighborEffect-i=1,49,47,2202,1980,Sum of TRIPS | D-APUMA | O-APUMA | 0 | 1 | 2 | 3 | 4 | 5 | 6
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,Summary-MSA&CMSA,25,5,84,0,O-MSA | TollShare | O-CMSA | PredictedTollShare | 360 | 0.125160986042157 | 680 | 0.0266891438617458 | 680 | 0.0266887424217458
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,Summary-APUMA,43,8,178,0,Predicted Toll Shares by Alternative Geographies | CMSA | Metro Area | Share | APUMA (Counties) | Share | APUMA | 680 | Bakersfield | 0.0266891438617458
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,Babblefish-APUMA,87,25,1125,0,INTPUMA | APUMA | Total | APUMA | Total | COU | APUMA | NAME | INTPUMA | APUMA
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,OD-PUMA(Val),97,90,7739,257,CA-JTW-TRIPS | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,OD-PUMA(rev),85,88,7479,7308,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,OD-APUMA(Val),50,75,3222,789,Sum of TRIPS | D-APUMA | NoNeighbor | ITERATION 0 | ITERATION 1 | ITERATION 2 | ITERATION 3 | UPPER BOUND (All Neighbors Tolls=1) | O-APUMA | 0
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,OD-APUMA(rev),44,47,1806,0,Sum of TRIPS | D-APUMA | O-APUMA | 0 | 1 | 2 | 3 | 4 | 5 | 6
data/workbooks/modernized/california_aggregated_puma_trip_tables.xlsx,MASTER6,6336,6,38004,19000,"O-INTPUMA | D-INTPUMA | TRIPS | O-APUMA | D-APUMA | =B2*1000+C2 | 1 | 0 | 70434 | =VLOOKUP(B2,'Babblefish-APUMA'!$A$1:$B$86,2)"
data/workbooks/modernized/california_msa_cmsa_trip_tables.xlsx,OD-MSA(Val),33,50,1197,327,Sum of TRIPS | D-MSA | NoNeighbor | O-MSA | 0 | 360 | 680 | 1620 | 2840 | 4480
